,Model Name,K,userid,ndcg@k,Relative_mrr@k,fcp@k,MAE@k,MSE@k,RMSE@k,R2squared
15,ItemKNN,18,377.0833333333333,0.850552955643615,0.18926218041822618,0.7581699346405228,0.7095075151597657,0.8542591672669492,0.909328725748816,0.04874670858296155
16,ItemKNN,19,480.9166666666667,0.8732067946954342,0.1754618476713963,0.7397660818713451,0.7885670811192874,0.9584805596840912,0.9497855250769273,0.05956657617587601
17,ItemKNN,20,474.2116991643454,0.7355172572686244,0.1747706310755437,0.718135170796071,0.7726845184803744,0.959383149755488,0.9556829022079222,0.04625611137709002
18,Random,3,470.66421343146277,0.662273346525733,0.5962383726873147,0.6427476234283962,1.0148163882128327,1.8610514324540712,1.2102875927564585,-1.676337546218614
19,Random,4,434.8712871287129,0.7752718485706797,0.4696782178217821,0.6336633663366337,1.0445879210516005,1.6991839120878338,1.2223354255667485,-1.9084067559989444
20,Random,5,474.3808574277169,0.6989657582956811,0.44007643735460283,0.6698903290129611,1.0110562627119173,1.7807504410177224,1.2314439254191145,-1.5455125646725851
21,Random,6,544.8301886792453,0.8342180286739194,0.37138364779874206,0.7044025157232704,0.9979290581993912,1.7458510939862206,1.2310459559785971,-1.5676866021596463
22,Random,7,522.4615384615385,0.7723616267522054,0.34053724053724055,0.6227106227106227,1.0819602266890762,1.8070301302114444,1.3029555086984521,-1.8643041458740781
23,Random,8,487.60526315789474,0.8144056834784468,0.3076323621553884,0.6766917293233082,1.0131430204402365,1.6384890947909425,1.2495267003923392,-1.4102742890485358
24,Random,9,499.2,0.8196850112582793,0.28715498236331566,0.69375,1.0079813640790332,1.680636751299268,1.2517073440895556,-1.1935209089955567
25,Random,10,455.976,0.707672249295096,0.28446279365079363,0.6919466666666666,0.9856278192683079,1.7024144291302814,1.2323511847479665,-1.1577883390471404
26,Random,11,440.7741935483871,0.7998107237824945,0.24736218489884176,0.6850439882697947,1.0694981841547988,1.766660217133334,1.2912059437786263,-3.168425419959575
27,Random,12,416.10714285714283,0.8035939649248806,0.23648055813234384,0.6866883116883117,1.081737858683617,1.8540548352631965,1.3149433714403613,-1.3153988979022435
28,Random,13,426.8636363636364,0.8087197061403075,0.22029695246478462,0.7057109557109557,1.080847792141472,1.8472164782824598,1.3298891796406762,-1.3971797355661892
29,Random,14,555.3181818181819,0.8318904161060019,0.2135659164068255,0.7147852147852147,1.0136478426538464,1.6102402229522668,1.2470164263651067,-0.8484266988591901
30,Random,15,468.68119266055044,0.716070738246824,0.2179905470845838,0.7115552643075579,0.9743617585085821,1.66559834976519,1.2230440416160577,-0.8296773977495872
31,Random,16,569.0833333333334,0.8076478836057706,0.1904260453088578,0.7583333333333333,1.0090151727647048,1.5989532505115323,1.2361220798140715,-1.0012193532084945
32,Random,17,518.4444444444445,0.8373486394954296,0.18988891891141024,0.7058823529411764,0.9751842113607476,1.4525089488138143,1.18050886264613,-0.5835923637726146
33,Random,18,377.0833333333333,0.8444747611511634,0.18400579918145277,0.7554466230936819,0.8992389585168251,1.2385681508830322,1.0964300339165025,-0.8579855269354041
34,Random,19,480.9166666666667,0.8622161894595154,0.17508650115176105,0.7387914230019493,0.9775980907552274,1.5162223813626128,1.204563956542701,-0.7961918331897051
35,Random,20,474.2116991643454,0.730450461497877,0.17680361169491302,0.7163905585691247,0.9837594710685491,1.6805105068139392,1.2351952285560461,-0.7831534542255018
36,SVD,3,470.66421343146277,0.666664519874972,0.5965961361545538,0.6510272922416437,0.7734894248124842,1.016344516832743,0.8993313161665577,-0.11556988570161576
37,SVD,4,434.8712871287129,0.7754559257066067,0.48741749174917487,0.6320132013201321,0.8153727734577356,1.019487964471891,0.9534060245420078,-0.32197052447239566
38,SVD,5,474.3808574277169,0.7027131308416932,0.447926221335992,0.6757726819541375,0.7614549995849292,0.9786470415567537,0.9193062816013414,-0.04660498465436789
39,SVD,6,544.8301886792453,0.8358160896110124,0.3849056603773584,0.7056603773584906,0.765347227940454,0.9773611428041747,0.9370198175415151,-0.04867114599018003
40,SVD,7,522.4615384615385,0.7697799384925277,0.3595412523983952,0.6227106227106227,0.7979605289370201,1.0507856230964943,0.9773767498966613,-0.21700827420875662
41,SVD,8,487.60526315789474,0.8094330435147779,0.3282542293233083,0.6729323308270676,0.8356740868270692,1.0682638981462333,1.0050929578092194,-0.16416927584083432
42,SVD,9,499.2,0.8146224685044289,0.30680776014109346,0.6909722222222222,0.7821552195666824,1.0338979197484615,0.9773040242946673,-0.0422399842543826
43,SVD,10,455.976,0.7119058165955888,0.2884128253968254,0.6953600000000001,0.7487377212679628,0.9341371919933458,0.9242644141420904,-0.009182746580057067
44,SVD,11,440.7741935483871,0.8001565080554236,0.2605132811144541,0.6850439882697947,0.7704585849330617,0.9215912159002694,0.9343301790067354,-0.12158741337000338
45,SVD,12,416.10714285714283,0.8079382322127867,0.2472509963581392,0.6883116883116883,0.7861987690993145,0.9967047784621548,0.9662311803094187,-0.033584002988748474
46,SVD,13,426.8636363636364,0.8097344657885759,0.234766030395401,0.7057109557109557,0.8239682609494575,1.085576096180311,1.0126537985862865,-0.03991424777629466
47,SVD,14,555.3181818181819,0.8364369286614782,0.22551698842283258,0.7152847152847153,0.782005883077575,0.9690694882572568,0.9678323585821825,0.04068245453274868
48,SVD,15,468.68119266055044,0.7202087010839102,0.21795531345990063,0.7137614678899082,0.7588656207162139,0.9678027282790708,0.948035315704803,0.028877749209319188
49,SVD,16,569.0833333333334,0.8008761518454651,0.1978003983863359,0.7576388888888889,0.7588748317547501,0.9244272865845543,0.9352500864294518,0.09729527874575473
50,SVD,17,518.4444444444445,0.8303819198594249,0.20019534163132782,0.7034313725490197,0.7812591190665663,0.883979715185364,0.9256080867988514,0.0833621507778935
51,SVD,18,377.0833333333333,0.850552955643615,0.186703704943084,0.7581699346405228,0.7094173421088071,0.8222883498411276,0.8870467797109166,0.049741265063806474
52,SVD,19,480.9166666666667,0.8732067946954342,0.18323407351434076,0.7397660818713451,0.772591721847348,0.9577495215916819,0.9440158576170021,0.07961512812232617
53,SVD,20,474.2116991643454,0.7354305369422066,0.1766626672806981,0.717915261691834,0.771255786184202,0.999494331361329,0.9700307558931951,0.025184211709101872
54,SVD++,3,470.66421343146277,0.6673943226414477,0.5962894817540632,0.651640601042625,0.7729712850222809,1.0263180480484217,0.9013768793817668,-0.1021001315758167
55,SVD++,4,434.8712871287129,0.7754559257066067,0.4898927392739273,0.6320132013201321,0.8022594537758405,1.0249720980920647,0.9518271470861287,-0.25994021230138936
56,SVD++,5,474.3808574277169,0.7031285212853008,0.446580259222333,0.676271186440678,0.7605377102140161,0.987570528232953,0.9217787501464125,-0.04146303602942868
57,SVD++,6,544.8301886792453,0.8358160896110124,0.3830188679245283,0.7056603773584906,0.7520853370747875,0.965460744388295,0.9285465650069848,-0.031131575560079817
58,SVD++,7,522.4615384615385,0.7697799384925277,0.35927088784231637,0.6227106227106227,0.7845503788252627,1.0304568281199056,0.9663717563839249,-0.21213268175727093
59,SVD++,8,487.60526315789474,0.8094330435147779,0.3301456766917293,0.6729323308270676,0.8224639517980271,1.050230355430984,0.9946620861449265,-0.10825318457608765
60,SVD++,9,499.2,0.8146224685044289,0.3075297619047619,0.6909722222222222,0.7925270255844564,1.0667891130859013,0.9931103472890239,-0.06450183472717873
61,SVD++,10,455.976,0.7122869091271117,0.28890660317460315,0.69568,0.7516195748243927,0.9539263424867073,0.9310599778614107,-0.015334275611238084
62,SVD++,11,440.7741935483871,0.8001565080554236,0.25930397396673055,0.6850439882697947,0.7573524716843368,0.9015886931757295,0.9237894355005118,-0.06738600908437174
63,SVD++,12,416.10714285714283,0.8079382322127867,0.2504669355115784,0.6883116883116883,0.7987435121913687,1.0228437347122148,0.9776438795034867,-0.051119843622527306
64,SVD++,13,426.8636363636364,0.8097344657885759,0.23693864410647628,0.7057109557109557,0.8076080790969077,1.050115567251359,0.9971528654062929,-0.011804098656506678
65,SVD++,14,555.3181818181819,0.8364369286614782,0.2259213459700473,0.7152847152847153,0.787323254987885,0.9857345487490794,0.9736602853446232,0.04453785743556746
66,SVD++,15,468.68119266055044,0.7206321710977677,0.218248621069722,0.7139580602883355,0.7622844102148435,0.9904717512012761,0.956613368846174,0.016463695987804193
67,SVD++,16,569.0833333333334,0.8008761518454651,0.19846622561466312,0.7576388888888889,0.7603444983301397,0.9306596142786815,0.9416740204574885,0.06282715096093454
